edible_plants,e_plants_gbif_code,lookalikes,lookalikes_gbif_code
Acer platanoides,3189846,,
Achillea millefolium,3120060,,
Aegopodium podagraria,3034620,,
Ajuga reptans,2927078,,
Alchemilla vulgaris,7890713,,
Alliaria petiolata,5376075,,
Allium oleraceum,2857071,,
Allium ursinum,2857601,Colchicum autumnale; Convallaria majalis,2739622; 7459480
Amaranthus retroflexus,6109534,,
Angelica sylvestris,5371818,,
Anthriscus sylvestris,5371742,Aethusa cynapium; Conium maculatum,5371825; 3034807
Aposeris foetida,3094355,,
Arctium lappa,7353729,,
Armoracia rusticana,3041022,,
Artemisia absinthium,3121319,,
Artemisia vulgaris,3120946,,
Asparagus officinalis,2768885,,
Atriplex patula,3083728,,
Barbarea vulgaris,5708780,,
Bellis perennis,3117424,,
Berberis vulgaris,3033894,,
Betonica officinalis,2927280,,
Betula pendula,5331916,,
Bistorta officinalis,7925535,,
Brassica rapa,7903057,,
Bunium bulbocastanum,3034501,,
Calamintha nepeta,5341295,,
Campanula patula,5410564,,
Capsella bursa-pastoris,5375388,,
Cardamine hirsuta,3046258,,
Cardamine pratensis,7972010,,
Carduus crispus,3114649,,
Carpinus betulus,2875818,,
Carum carvi,3034714,,
Castanea sativa,5333294,,
Centaurea cyanus,3089561,,
Centaurea jacea,3128547,,
Chamomilla recutita,5391086,,
Chenopodium album,3083838,,
Chenopodium bonus-henricus,3083843,,
Cichorium intybus,5392252,,
Cirsium oleraceum,3113650,,
Cirsium vulgare,3112801,,
Claytonia perfoliata,7736011,,
Conyza canadensis,5404801,,
Cornus mas,3082263,,
Cornus sanguinea,3082234,,
Corylus avellana,2875979,,
Crataegus monogyna,9220780,,
Daucus carota,3034742,,
Echium vulgare,2925892,,
Elymus repens,5290299,,
Epilobium angustifolium,8406741,,
Equisetum arvense,7924597,Equisetum palustre,2687932
Fagopyrum esculentum,2889373,,
Fagus sylvatica,2882316,,
Fallopia japonica,5334357,,
Ficaria verna,9094061,,
Filipendula ulmaria,2987999,,
Foeniculum vulgare,3034922,,
Fragaria vesca,3029817,,
Fraxinus excelsior,3172358,,
Galeopsis tetrahit,5341300,,
Galinsoga quadriradiata,8298495,,
Galium aparine,2913548,,
Galium mollugo,9039392,,
Galium odoratum,2914642,,
Geranium pratense,2891304,Aconitum lycoctonum,3033675
Geum urbanum,5369652,,
Glechoma hederacea,2926557,,
Helianthus tuberosus,3119175,,
Heracleum sphondylium,3034830,,
Hieracium pilosella,3136365,,
Hippophae rhamnoides,3039285,,
Humulus lupulus,2984535,,
Hylotelephium telephium,2985865,,
Hypericum perforatum,3189486,,
Hypochaeris radicata,3093702,,
Impatiens glandulifera,2891770,,
Impatiens noli-tangere,2891779,,
Inula helenium,3148340,,
Juglans regia,3054368,,
Juniperus communis,2684709,Juniperus sabina,7963890
Knautia arvensis,2888808,,
Lactuca serriola,3140490,,
Lamium album,2926683,,
Lamium galeobdolon,2927324,,
Lamium maculatum,2926684,,
Lapsana communis,3134857,,
Larix decidua,2686212,,
Lathyrus pratensis,5356701,,
Lemna minor,2867589,,
Leontodon autumnalis,8058115,,
Lepidium campestre,7703116,,
Leucanthemum vulgare,8848598,,
Lotus corniculatus,5357013,,
Lychnis flos-cuculi,3085873,,
Lysimachia nummularia,3169379,,
Lysimachia vulgaris,3169386,,
Lythrum salicaria,3188736,,
Malva sylvestris,3152374,,
Matricaria discoidea,3103791,,
Matricaria recutita,3103774,,
Medicago lupulina,2965201,,
Medicago sativa,9151957,,
Melilotus officinalis,8193111,,
Mentha spicata,2927175,,
Mespilus germanica,3031774,,
Meum athamanticum,6026490,,
Mycelis muralis,3139040,,
Myosotis arvensis,5341170,,
Myrrhis odorata,3034681,,
Nasturtium officinale,7701037,,
Oenothera biennis,3188924,,
Ononis spinosa,2977149,,
Origanum vulgare,2926612,,
Oxalis acetosella,8211958,,
Papaver rhoeas,2888443,,
Parthenocissus inserta,3039203,,
Pastinaca sativa,8262702,Cicuta virosa,5371864
Persicaria hydropiper,8323622,,
Phragmites australis,5290149,,
Physalis alkekengi,7717,,
Phyteuma spicatum,3166841,,
Picea abies,5284884,,
Pimpinella saxifraga,7622278,,
Pinus nigra,5284809,,
Pinus sylvestris,5285637,,
Plantago lanceolata,8208358,,
Plantago major,3189767,,
Polygonum aviculare,7821030,,
Populus tremula,3040249,,
Portulaca oleracea,3084719,,
Potamogeton crispus,5301162,,
Potentilla anserina,5366829,,
Potentilla reptans,5367273,,
Prunella vulgaris,5341297,,
Prunus avium,3020791,,
Prunus mahaleb,3022789,,
Prunus padus,3021037,,
Prunus spinosa,3023221,,
Pseudotsuga menziesii,2685796,,
Pulmonaria officinalis,5341204,,
Quercus robur,2878688,,
Ranunculus ficaria,8397184,,
Raphanus raphanistrum,3040983,,
Reseda lutea,3040252,,
Ribes alpinum,2986184,,
Ribes uva-crispa,2986185,,
Robinia pseudoacacia,5352251,,
Rorippa palustris,3053168,,
Rosa canina,3002461,,
Rubus fruticosus,8436459,,
Rubus idaeus,2993094,,
Rumex acetosa,2888951,Arum maculatum,5330580
Rumex arifolius,4036273,,
Salix alba,5372513,,
Salvia glutinosa,2927026,,
Salvia pratensis,2927007,,
Sambucus nigra,2888728,,
Sanguisorba minor,3029430,,
Sanguisorba officinalis,3029627,,
Schoenoplectus lacustris,2710941,,
Scorzoneroides autumnalis,3133512,,
Sedum album,5362008,,
Sedum telephium,5361997,,
Silaum silaus,6027388,,
